krama,ngoko
dhateng kakung kalihan ampeyanipun kemawon,ke kakung karo ampeyan  wa
saisining dalem boten wonten ingkang kaleresan,sakehing dalem ora ana sing bener
nanging dukanipun wau tanpa guna,nanging dukane iku tanpa guna
awit bandara kakung sangsaya sanget,amarga bandara kakung dadi luwih
asihipun dhateng klangenan prasasat sampun,asih  marang klangenan rasane wis
manjing ing salebeting jejantung sakathahing,minggah ing salebeting ati sakabeh
daya sakathahing reka katamakaken kalis,daya sakabeh  tekane kena saka
saking puteking panggalih bandara raden,kekeliruan panggalih bandara raden
ayu lajeng utusan abdi kekasih,ayu banjur utusan abdi kekasih
ngupados dhukun ngupados dhuyung utawi srana sanesipun,ngupadi dhukun ngupadi dhuyung utawa cara liyan
ing pundi wonten dhukun ragi kawentar,ing endi ana dhukun sing kawentar
kawignyanipun inggih kakarsakaken murugi ingkang,pinter  kuwi dadi tambah merugi marang sing
makaten punika sakathahing donya brana,kaya ngono iku sakabeh  donya
gusis kagem paring mejani dhateng para dhukun,gusis kanggo menehi peringatan marang para dhukun
ewasamanten tangeh bandara kakung sageda,sing wis kadunungan  tangeh bandara kakung bisa
benggang sarambut kalihan ampeyanipun,gugur rambut  karo ampeyan
dene pun ampeyan sanget angadi,denn  ampeyan banget ngudi
adi nyenyuwun ingkang boten boten,ngajokake perkara sing ora ana
tetedhan tuwin pangangge ingkang regi,tetedhan lan pangangg  sing regin
kathah sadaya dados jalaran malarat,kabeh dadi jalaran sengsara
dhateng bandaranipun wewah wewah klangenan,marang bandaran   wewah wewah klangenan
punika dipun ngengeri bapa biyung,punika dipun ngengeri bapa biyung
sadherek pinten pinten sadaya saben,sadherek pinten pinten sadaya saben
dinten namung nedha tilem kemawon,dinten namung nedha tilem kemawon
salah satunggal boten wonten ingkang,salah satunggal boten wonten ingkang
purun gumlawat ngupados sarananing gesang,purun gumlawat ngupados sarananing gesang
ingkang kathah selir punika asal,ingkang kathah selir punika asal
alit esthining manah boten liya,alit esthining manah boten liya
namung sageda dados ngajeng,namung sageda dados ngajeng
menggah sarana ingkang katamakaken asring,menggah sarana ingkang katamakaken asring
kemawon adamel cilaka dhateng padminipun salamining gesang,kemawon adamel cilaka dhateng padminipun salamining gesang
limrahipun tumamaning srana boten adamel,limrahipun tumamaning srana boten adamel
icaling nyawa amargi manawi makaten,icaling nyawa amargi manawi makaten
temtu ingkang namakaken badhe kaukum,temtu ingkang namakaken badhe kaukum
tiyang kaselir lantip ing budi,tiyang kaselir lantip ing budi
saged angsal srana ingkang adamel,saged angsal srana ingkang adamel
boten limrah dhateng padmi ngantos,boten limrah dhateng padmi ngantos
ingkang jaler ngemohi dhateng,ingkang jaler ngemohi dhateng
semah padmi wau,semah padmi wau
mila kajawi benter manahipun tiyang,mila kajawi benter manahipun tiyang
kawayuh selir tansah ngandhut kuwatos,kawayuh selir tansah ngandhut kuwatos
ambokmanawi cilaka saking pandameling selir wau,ambokmanawi cilaka saking pandameling selir wau
kathah para garwaning para luhur,kathah para garwaning para luhur
lajeng kagungan gerah lumpuh gerah,lajeng kagungan gerah lumpuh gerah
padharan tuwin gerah langkung sanget,padharan tuwin gerah langkung sanget
ingkang boten kenging kula wedharaken ing ngriki,ingkang boten kenging kula wedharaken ing ngriki
punapaa tiyang estri purun kawayuh,punapaa tiyang estri purun kawayuh
padmi utawi kamaru selir,padmi utawi kamaru selir
la punika jalaranipun bilih bangsa,la punika jalaranipun bilih bangsa
priyantun isin dados reraosaning kathah,priyantun isin dados reraosaning kathah
sumelang manawi anakipun badhe kaanggep,sumelang manawi anakipun badhe kaanggep
sawiyah dening biyungipun kuwalon,sawiyah dening biyungipun kuwalon
panggagasipun manawi semah malih boten,panggagasipun manawi semah malih boten
badhe pajeng badhe ngupados tedha,badhe pajeng badhe ngupados tedha
piyambak boten saged cekakipun badhe,piyambak boten saged cekakipun badhe
lumajeng boten wonten purugipun,lumajeng ora ana purugipun
mila manawi tiyang estri bangsa,mula yen wong wadon bangsa
asal alitipun boten kaudi ngupados,asal alitipun ora kaudi ngupados
kasagedan salaminipun badhe cotho kagarap,kasagedan salaminipun bakal cotho kagarap
mirah dening tiyang jaler kaanggep,merah dening wong lanang kaanggep
mangsa boten badhe nuruti pikajenging lakinipun,mangsa ora bakal nuruti pikajenging lakine
bangsa tiyang alit beda sanget,bangsa wong alit beda banget
ingkang kathah anggenipun jejodhoan bebrayan,sing akeh anggone jejodhoan bebrayan
ngupados tedha jaler estri caking,ngupados tedha lanang wadon caking
padamelan sami kemawon malah terkadhang,padamelan padha wae malah terkadang
rekaos tiyangipun estri,rekaos wong  wadon
mila yen tiyang estri kasakitaken,mula yen wong wadon kesakitan
manahipun dening ingkang jaler lajeng,manah  dening wong lanang banjur
nedha pegat ngupados tedha piyambak,nedha pegat ngupados tedha dhewe
aluwung tanpa bojo tinimbang gadhah,aluwung tanpa bojo tinimbang duwe
bojo boten sakeca manahipun,bojo ora sakeca manah
tiyang estri ingkang boten kamaru,wong wadon sing ora kamaru
boten ambebana dhateng laki narimah sawontenipun,ora ambebana marang laki narima sawontenipun
saking welas asihipun dhateng laki,saking welas asih  marang laki
ingkang rekaos anggenipun ngupasosaken guna,sing rekaos anggone ngupasokake guna
kaya bok estri ngeman sanget,kaya bok wadon ngeman banget
dhateng yatra gemi nastiti yatra,dheweke yatra gemi nastiti yatra
blanja tirah sigar sadhuwit dipun,blanja tirah sigar sadhuwit dipun
enthil enthil kangge sesimpenan mrelokaken,enthil enthil kanggo sesimpenan mrelokaken
dhateng kuwajibaning biyung tumrap ing,dheweke kuwajiban  biyung marang
anak anak kaudi sageda gadhah,anak anak uga bisa duwe
paitan ingkang kangge gesang manawi sampun diwasa,paitan kanggo gesang manawa wis diwasa
begja langkung begja lare ingkang,begja luwih begja anak sing
bapakipun asemah satunggal,bapak  asemah satunggal
manawi nitik kawontenanipun bangsa kulit,yen nitik kawontenan  bangsa kulit
pethak ingkang boten kenging wayuh,pethak sing ora kena wayuh
anakipun inggih sakedhik kuwagang amikul,anak  ya sethithik kuwagang amikul
wragading ngupadosaken kasagedan dhateng lare,wragading ngupadosake kasagedan marang anak
lare punika sasampunipun anak mentas,anak iku sasampun  anak mentas
sadaya namung gesang tiyang kalih,sadaya mung gesang wong loro
jaler estri entheng wragadipun,jaler estri entheng wragadipun
dados wancinipun jempo boten kacingkrangan,dados wancinipun jempo boten kacingkrangan
wangsul bangsa kula jawi pancen,wangsul bangsa kula jawi pancen
warni ngejor hawa gesangipun kaupamekna,warni ngejor hawa gesangipun kaupamekna
tiyang nglangi boten saged dumugi ing pinggir,tiyang nglangi boten saged dumugi ing pinggir
sumangga kagaliha manawi anakipukathahn nanging,sumangga kagaliha manawi anakipukathahn nanging
jaler sadaya utawi estri sadaya,jaler sadaya utawi estri sadaya
lajeng nyelir utawi rabi malih,lajeng nyelir utawi rabi malih
sengadinipun angupados anak estri utawi,sengadinipun angupados anak estri utawi
ngupados anak jaler,ngupados anak jaler
manawi bojonipun sampun boten gadhah,manawi bojonipun sampun boten gadhah
anak malih api api kepengin,anak malih api api kepengin
dolanan lare alit inggih lajeng ngenemaken,dolanan lare alit inggih lajeng ngenemaken
kathah tiyang jaler ingkang sampun,kathah tiyang jaler ingkang sampun
umur seket sawidak taun mendhet,umur seket sawidak taun mendhet
lare umur wolulas taun langkung,lare umur wolulas taun langkung
malih bangsa luhur jawi,malih bangsa luhur jawi
tiyang ingkang makaten punika kabasakaken,tiyang ingkang makaten punika kabasakaken
namung anjurungi hawa napsu istingarah,namung anjurungi hawa napsu istingarah
tiyang umur sawidak taun enggal,tiyang umur sawidak taun enggal
badhe santun jaman dados sampun,badhe santun jaman dados sampun
sumerep manawi boten badhe saged,sumerep manawi boten badhe saged
ngagengaken anakipun sampun sumerep manawi,ngagengaken anakipun sampun sumerep manawi
anakipun ingkang kantun badhe manggih,anakipun ingkang kantun badhe manggih
sangsara tuladhanipun boten kirang,sangsara tuladhanipun boten kirang
manawi kula gagas gagas tiyang,manawi kula gagas gagas tiyang
jawi punika dados budhaking hawa napsunipun,jawi punika dados budhaking hawa napsunipun
kreket garengsenging manah dhateng wanita,kreket garengsenging manah dhateng wanita
sami kalihan bangsa,sami kalihan bangsa
arab angungkuli cina nanging pamersudi,arab angungkuli cina nanging pamersudi
dhateng ngupados yatra tuwin simpen,dhateng ngupados yatra tuwin simpen
yatra sangandhaping sukunipun bangsa bangsa,yatra sangandhaping sukunipun bangsa bangsa
punika letipun satus tirisan,punika letipun satus tirisan
andhap sedheng luhur tiyang jawi,andhap sedheng luhur tiyang jawi
meh racak kemawon kasugihanipun awujud,meh racak kemawon kasugihanipun awujud
anak sepen rajabrana,anak sepen rajabrana
manawi bangsa priyantun ingkang balanja,manawi bangsa priyantun ingkang balanja
sakedhik gadhah sambutan punika limrah,sakedhik gadhah sambutan punika limrah
wangsul ingkang bayaripun sagrobag inggih,wangsul ingkang bayaripun sagrobag inggih
tharethekan punika ingkang anggumunaken,tharethekan punika ingkang anggumunaken
pinten kathahipun tiyang jawi ingkang,pinten kathahipun tiyang jawi ingkang
griya gedhong bekakas sae sawanci,griya gedhong bekakas sae sawanci
wanci ketamuan boten gugup panggenan,wanci ketamuan boten gugup panggenan
resik segahan pantes,resik segahan pantes
pundi tiyang jawi ingkang gadhah,pundi tiyang jawi ingkang gadhah
montor mulya mulyanipun dados kusiripun,montor mulya mulyanipun dados kusiripun
manawi gadhah tumbas cicilan dereng,manawi gadhah tumbas cicilan dereng
pundhat montor sampun risak,pundhat montor sampun risak
saben wonten wertos kacilakan ingkang,saben wonten wertos kacilakan ingkang
kalindhes tiyang jawi bangsa sanesipun,kalindhes tiyang jawi bangsa sanesipun
meh boten nate kalindhes,meh boten nate kalindhes
gesangipun tiyang jawi momong anak,gesangipun tiyang jawi momong anak
manawi pejah tilar anak alit,manawi pejah tilar anak alit
manawi anak yatim punika estri,manawi anak yatim punika estri
kelangkung langkung nalangsanipun bilih bangsa,kelangkung langkung nalangsanipun bilih bangsa
luhur nalika ingkang rama taksih,luhur nalika ingkang rama taksih
sugeng ajinipun kaupamekaken,sugeng ajinipun kaupamekaken
satus rupiyah sasedanipun ingkang rama namung sakethip,satus rupiyah sasedanipun ingkang rama namung sakethip
kala rumiyin wonten bangsa luhur,kala rumiyin wonten bangsa luhur
putranipun kathah sanget,putranipun kathah sanget
putra estri meh sajinah,putra estri meh sajinah
nalika ingkang rama taksih jumeneng,nalika ingkang rama taksih jumeneng
putra putra wau boten nyaruwe,putra putra wau boten nyaruwe
dhateng bangsa madya kemawon sanajan,dhateng bangsa madya kemawon sanajan
ingkang sampun kadrajadan manawi priyantun,ingkang sampun kadrajadan manawi priyantun
alit kelilan angengakaken korining kreta,alit kelilan angengakaken korining kreta
ingkang dipun titihi kemawon rumaosipun,ingkang dipun titihi kemawon rumaosipun
kedhawahan daru langkung malih manawi dipun ngandikani,kedhawahan daru langkung malih manawi dipun ngandikani
wusana putra estri dereng krama,wusana putra estri dereng krama
sadaya ingkang rama kondur ing,sadaya ingkang rama kondur ing
jaman kalanggengan tilaran ingkang warni,jaman kalanggengan tilaran ingkang warni
yatra boten wonten namung wujud,yatra boten wonten namung wujud
barang kalelangaken pepajenganipun taksih dereng,barang kalelangaken pepajenganipun taksih dereng
cekap kangge nyauri sambutanipun,cepak kangge nyauri sambutanipun
sarehning prawan prawan punika kuwatos,sarehning prawan prawan punika kuwatos
bilih badhe luwas ing sampiran,bilih badhe luwas ing sampiran
mila lajeng nampeni panglamaripun tiyang,mila lajeng nampeni panglamaripun tiyang
bangsa alit namung gadhah pangkat,bangsa alit namung gadhah pangkat
malah wartosipun wontening rembag jajodhoan,malah wartosipun wontening rembag jajodhoan
punika boten saking jaleripun,punika boten saking jaleripun
saupami ingkang rama taksih sugeng,saupami ingkang rama taksih sugeng
sanajan dipun krapea bangsa alit,sanajan dipun krapea bangsa alit
boten badhe kamipurun nyuwun putranipun,boten badhe kamipurun nyuwun putranipun
para ageng ingkang anjurungi karsa,para ageng ingkang anjurungi karsa
temahan asor bilih anak estri,temahan asor bilih anak estri
semah bangsa alit kemawon boten,semah bangsa alit kemawon boten
sanget nistha wangsul ingkang nglampahi,sanget nistha wangsul ingkang nglampahi
dados gundhik cina punika punapa pantes,dados gundhik cina punika punapa pantes
mangka kathah ingkang makaten raden,mangka kathah ingkang makaten raden
ajeng raden ajeng ingkang kangge,ajeng raden ajeng ingkang kangge
lelangen bangsa yatra boten langka,lelangen bangsa yatra boten langka
boten sanes sababipun para ageng,boten sanes sababipun para ageng
boten anggalih manawi tiyang kaluwen,boten anggalih manawi tiyang kaluwen
sarta kewudan supe dhateng kautamen,sarta kewudan supe dhateng kautamen
tiyang jawi kathah ingkang ngaken,tiyang jawi kathah ingkang ngaken
turunipun raden janaka manut cariyosipun,turunipun raden janaka manut cariyosipun
kyai dhalang raden janaka garwanipun,kyai dhalang raden janaka garwanipun
tanpa wicalan ing pundi pundi wonten,tanpa wicalan ing pundi pundi wonten
punika ingkang katiru bangsa jawi,punika ingkang katiru bangsa jawi
nanging supe dhateng agenging tekadipun,nanging supe dhateng agenging tekadipun
raden janaka kados punapa prihatosipun,raden janaka kados punapa prihatosipun
nalika kawon perangipun kalihan prabu,nalika kawon perangipun kalihan prabu
bomantara kadospundi rekaosing saliranipun salamining,bomantara kadospundi rekaosing saliranipun salamining
mintaraga hawanipun sadaya dipun pejahi,mintaraga hawanipun sadaya dipun pejahi
manawi maos serat damarwulan lare,manawi maos serat damarwulan lare
jawi ingkang manjing ing sungsumipun,jawi ingkang manjing ing sungsumipun
namung sapuluh ingkang nyariyosaken anjasmara,namung sapuluh ingkang nyariyosaken anjasmara
putraning patih amboyongi satriya ing paluhamba,putraning patih amboyongi satriya ing paluhamba
kabekta dhateng dalemipun,kabekta dhateng dalemipun
para maos boten enget dhateng,para maos boten enget dhateng
nalangsanipun raden damarwulan nalika kapurih,nalangsanipun raden damarwulan nalika kapurih
ngaritaken kapal pinten pinten tur,ngaritaken kapal pinten pinten tur
ngangge arit timah,ngangge arit timah
boten sami gadhah kreket badhe,boten sami gadhah kreket badhe
mirib kemawon dhateng kekahing watekipun,mirib kemawon dhateng kekahing watekipun
kula sampun sepuh sampun apeputra,kula sampun sepuh sampun apeputra
kathah tepa tuladha ingkang kula,kathah tepa tuladha ingkang kula
sumerepi sinten tiyang ingkang badhe,sumerepi sinten tiyang ingkang badhe
gadhah turun mulya kedah ageng tirakatipun,gadhah turun mulya kedah ageng tirakatipun
jaman samangke tirakatipun inggih namung,jaman samangke tirakatipun inggih namung
ngeker hawa ingkang rekaos piyambak,ngeker hawa ingkang rekaos piyambak
tumrap bangsa jawi inggih hawa,tumrap bangsa jawi inggih hawa
dhateng wanita sinten tiyang ingkang,dhateng wanita sinten tiyang ingkang
wekel ajrih dhateng lampah jina,wekel ajrih dhateng lampah jina
narimah bojo satunggal punika manawi,narimah bojo satunggal punika manawi
tiyang jawi sampun kaanggep unggul,tiyang jawi sampun kaanggep unggul
sanget amargi tiyang ingkang makaten,sanget amargi tiyang ingkang makaten
gesangipun boten kendhat kendhat anenuwun,gesangipun boten kendhat kendhat anenuwun
supados badanipun wilujenga turunipun amanggiha kawibawan,supados badanipun wilujenga turunipun amanggiha kawibawan
sarehning gusti allah boten cidra,sarehning gusti allah boten cidra
sapa temen tinemenan mila panuwun,sapa temen tinemenan mila panuwun
ingkang makaten inggih kadumugen,ingkang makaten inggih kadumugen
manawi nitik ingkang katingal kemawon,manawi nitik ingkang katingal kemawon
tiyang ingkang makaten punika pamredinipun,tiyang ingkang makaten punika pamredinipun
dhateng anak kenceng anakipun,dhateng anak kenceng anakipun
nurut sabab sumerep lampahing bapakipun,nurut sabab sumerep lampahing bapakipun
sae punapa rehing bapa anak,sae punapa rehing bapa anak
angestokaken wekasan manggih kamulyan,angestokaken wekasan manggih kamulyan
watawis sawidak taun kapengker wonten,watawis sawidak taun kapengker wonten
tiyang jawi bangsa sedheng kemawon,tiyang jawi bangsa sedheng kemawon
wiwit magang dumugi sepuh namung,wiwit magang dumugi sepuh namung
rabi sapisan boten nate nolih,rabi sapisan boten nate nolih
dhateng wanita liyan,dhateng wanita liyan
salaminipun cepeng damel sungkem sanget dhateng kuwajibanipun,salaminipun cepeng damel sungkem sanget dhateng kuwajibanipun
manawi nedha sapantesipun tilemipun namung,manawi nedha sapantesipun tilemipun namung
sakedhap sakedhap supados sampun ngantos,sakedhap sakedhap supados sampun ngantos
ngantuk manawi wanci dalu ngerok,ngantuk manawi wanci dalu ngerok
kapal sarta nacahaken tedhanipun utawi,kapal sarta nacahaken tedhanipun utawi
dhudhuk dhudhuk ing pakebonan,dhudhuk dhudhuk ing pakebonan
saking palimarmaning pangeran tiyang punika,saking palimarmaning pangeran tiyang punika
wekasan angsal darajad luhur sarta,wekasan angsal darajad luhur sarta
meningi anak anakipun sami wekel,meningi anak anakipun sami wekel
sarta kangge sanget ing pasuwitanipun dhateng nagari,sarta kangge sanget ing pasuwitanipun dhateng nagari
lelampahanipun beda kalihan paman kula,lelampahanipun beda kalihan paman kula
ingkang adedunung tunggil sanagari,ingkang adedunung tunggil sanagari
nalika paman kula punika bojonipun,nalika paman kula punika bojonipun
jaka rara taksih gesang saking,jaka rara taksih gesang saking
ajrihipun boten nate nyleweng nanging,ajrihipun boten nate nyleweng nanging
sareng semahipun ajal lajeng nyaur,sareng semahipun ajal lajeng nyaur
kaul mendhet selir sakawan sareng rehning,kaul mendhet selir sakawan sareng rehning
umur sawatawis lungse pandugi kula,umur sawatawis lungse pandugi kula
boten kuwagang ngladosi tiyang sakawan punika,boten kuwagang ngladosi tiyang sakawan punika
sareng para selir boten kadumugen,sareng para selir boten kadumugen
kajengipun lajeng sami beka nedha,kajengipun lajeng sami beka nedha
yatra kathah pangangge ingkang sae,yatra kathah pangangge ingkang sae
sae minangka lelintuning kasenengan,sae minangka lelintuning kasenengan
paman kula ngantos brindhil,paman kula ngantos brindhil
sareng yatranipun telas seliripun sami,sareng yatranipun telas seliripun sami
ngupados seneng piyambak piyambak manawi,ngupados seneng piyambak piyambak manawi
medal anakipun inggih nama anakipun,medal anakipun inggih nama anakipun
paman kula amargi selir selir,paman kula amargi selir selir
punika dereng kapegat,punika dereng kapegat
dados paman kula punika dhapur,dados paman kula punika dhapur
memelas dhumawah ing kemlararatan wewah wewah kawirangan,memelas dhumawah ing kemlararatan wewah wewah kawirangan
sampun malih paman kula namung,sampun malih paman kula namung
bangsa sedheng kemawon sanajan bangsa,bangsa sedheng kemawon sanajan bangsa
gung aluhur manawi tanpa sebut,gung aluhur manawi tanpa sebut
inggih makaten kadadosanipun,inggih makaten kadadosanipun
kados tembanganipun taledhek kembang jagung,kados tembanganipun taledhek kembang jagung
awak rusak ati bingung,awak rusak ati bingung
limrahipun tiyang punika ngeman dhateng,limrahipun tiyang punika ngeman dhateng
yatra sakedhik manawi wiwit gadhah simpenan,yatra sakedhik manawi wiwit gadhah simpenan
sarehning tiyang jawi meh sadaya,sarehning tiyang jawi meh sadaya
pamedalipun boten nate nyekapi kabetahanipun,pamedalipun boten nate nyekapi kabetahanipun
mila dhateng yatra boten ngajeni,mila dhateng yatra boten ngajeni
manawi taksih gadhah yatra kedah,manawi taksih gadhah yatra kedah
telas warni warni purugipun terkadhang,telas warni warni purugipun terkadhang
barang boten prelu inggih katumbas,barang boten prelu inggih katumbas
mangka panumbasipun dhateng bangsa manca,mangka panumbasipun dhateng bangsa manca
dados kempaling yatranipun tiyang jawi,dados kempaling yatranipun tiyang jawi
dhateng bangsa manca wau temahan,dhateng bangsa manca wau temahan
tiyang jawi kawon ongkogipun,tiyang jawi kawon ongkogipun
punapa malih manawi sampun gadhah,punapa malih manawi sampun gadhah
sambutan dhateng bangsa manca punika,sambutan dhateng bangsa manca punika
andhap asoripun angudubilahi pamrihipun manawi,andhap asoripun angudubilahi pamrihipun manawi
boten nicil sampun ngantos dipun prekawisaken,boten nicil sampun ngantos dipun prekawisaken
bangsa ingkang tampi bayar manawi,bangsa ingkang tampi bayar manawi
mentas tampi blanja badhe kadamel,mentas tampi blanja badhe kadamel
nyauri sambutanipun taksih kirang lajeng kangge ngabotohan,nyauri sambutanipun taksih kirang lajeng kangge ngabotohan
niyatipun inggih boten kalentu badhe,niyatipun inggih boten kalentu badhe
menang nanging ingkang kathah kawon,menang nanging ingkang kathah kawon
ngantos telas dados mindhak sangsaranipun,ngantos telas dados mindhak sangsaranipun
ingkang begja saged menang wonten,ingkang begja saged menang wonten
ingkang ngrembag dhateng sambutan tuwin kabetahanipun sanes,ingkang ngrembag dhateng sambutan tuwin kabetahanipun sanes
wonten ugi ingkang eman sanget,wonten ugi ingkang eman sanget
dhateng yatranipun dipun kandhut kemawon,dhateng yatranipun dipun kandhut kemawon
badhe kaindhakaken malih sarana kertu,badhe kaindhakaken malih sarana kertu
ananging limrahipun yatra lajeng telas,ananging limrahipun yatra lajeng telas
ingkang kaping tiga ing sarehning,ingkang kaping tiga ing sarehning
tiyang ingkang wayuh namung,tiyang ingkang wayuh namung
ngrembag kabetahanipun piyambak kemawon boten,ngrembag kabetahanipun piyambak kemawon boten
keconggah kadospundi badhe mikir dhateng,keconggah kadospundi badhe mikir dhateng
prakawis sanes sanesipun,prakawis sanes sanesipun
tiyang jawi manawi kaanggep remeh,tiyang jawi manawi kaanggep remeh
dening bangsa manca sakit manahipun,dening bangsa manca sakit manahipun
nanging sakiting manah wau boten,nanging sakiting manah kuwi ora
pisan dados pangasah namung muring,pisan dadi pangasah mung muring
muring bibar muring lajeng nglalu,muring bibar muring banjur nglalu
saleresipun manawi kasepelekaken punika lajeng,sak tenane yen kasepelekke kuwi banjur
metani awakipun piyambak supados sumerepa,metani awak dhewe supaya ngerti
punapa cacadipun cacadipun wau kaudia,apa cacate cacat kuwi bisa
icalipun lajeng amarsudi sageda nututi,ical lan bisa ngrampungake bisa ngikut
kagunanipun bangsa ingkang moncol,kegunaane bangsa sing moncol
manawi saged makaten temtu kemawon,yen bisa ngono mesthi bakal
tiyang jawi badhe mindhak ajinipun,tiyang jawi bakal mundhak ajine
boten kaanggep asor ing salaminipun,ora dianggep rendheng selama lamane
kados cariyos ing ngandhap punika,kaya cerita ing ngisor iki
ing satunggiling nagari panggenan tiyang,ing sawijining nagara panggonane wong
among dagang wonten tiyang mlarat,pamong dagang ana wong miskin
adedunung sandhing kalihan tiyang sugih,adedunung cedhak karo wong sugih
samangsa mangsa tiyang sugih wau,sakwise mangsa wong sugih kuwi
gadhah damel sadherek utawi pitepanganipun,gadhah kerjaan sedulur utawa tetanggan
ingkang tebih dipun ulemi namung,sing adoh dipun ulemi mung
tangga pun miskin sanajan anjathok dipun langkungi,tangga sing miskin sanajan dianggep luwih
pun miskin sanget ing isinipun,miskin banget isin isin
tuwin benter lajeng nilar bale,banter banjur ninggal bali
pakaranganipun kesah dhateng ing ngamanca,pakarangan  kesah menyang luar negeri
pratignya boten badhe wangsul manawi,pancen ora bakal bali yen
dereng sami kalihan tangganipun sugih punika,durung padha karo tangga sugih kuwi
jalaran pawitanipun sakedhik prasasat namung,amarga wiwitan  sakedik kaya ngene
bau suku kemawon wiwitipun daganganipun,wangsu kaki pisan wiwitan  dagangane
remeh sanget nanging saking sregep,remeh banget nanging amarga sregep
tuwin gemi lami lami dados,tuwin semangat suwe suwe dadi
juragan ageng daganganipun awujud sata,juragan gedhe dagangane kaya sapi
temahan saged gadhah yatra kalih,kejaba bisa gadhah yatra loro
leksa rupiyah rumaos sampun sami,rupiah sing akeh krasa wis padha
kalihan tangganipun sugih wau,kaya tangga sugih kuwi
samanten tiyang punika lajeng wangsul,sakwise kuwi wong iki banjur bali
dhateng panggenan wutah rahipun ngedegaken,ke panggonan sukses ngedegake
griya sapantesipun dipun enggeni ing saanak bojonipun,griya sing pantes dipigunakne karo bojon
anggenipun ngeslupi griya punika mawi,carane mbangun griya iki nganggo
karamekaken sawatawis ingkang dipun ulemi,kabeh sing dibutuhake sing dipun ulemi
rumiyin piyambak tangga sugih wau,rumiyin dhisik tangga sugih kuwi
sareng tamu sadaya sampun kempal,bareng tamu kabeh wis kumpul
pun tilas miskin kawedal ujaripun makaten,tapi dulu miskin banjur metu ucapane kaya ngene
tamu ingkang sami mrelokaken dhateng,tamu sing padha ngomong ngomong menyang
ing griya kula sampeyan sami,ing griya aku  sampeyan kabeh
boten kakilapan dhateng kamlaratan kula,ora kleru karo kemlaratanku
rumiyin samangke kula dados tiyang cekap,dulu saiki aku dadi wong cukup
dene jalaranipun kula saged makaten,lan sebab aku bisa kaya ngene
saking pangasahipun tangga kula punika,saka usaha tanggaku kuwi
mila tamu kula sadaya sami aneksenana,mula tamuku kabeh padha nresnani
wektu punika kula nglairaken panarimah,wektu kuwi aku nglairake panarima
kula dhateng tangga kula punika,aku marang tanggaku kuwi
saupami kula rumiyin dipun anggep,yen aku dulu dianggap
sami kalihan piyambakipun temtu boten,sama kaya dheweke mesthi ora
badhe thukul pikir kula ngudi,bakale thukul pikiranku ngupayakake
dhateng panggesangan ingkang langkung sae,ke urip sing luwih apik
manawi bangsa kula jawi ngilo,yen bangsa aku jawi ngerti
dhateng tiyang kulit pethak mesthi,marang wong kulit putih mesthi
merang utawi netah dhateng awakipun,merang utawa nyelekit marang awak
piyambak rumaos manawi epeh sanget,dhewe rumangsa yen kebangetan
bangsa walandi warni warni lelabuhipun,bangsa walanda warni warni ilmu
dhateng kawruh dhateng paprentahan nagari,marang kawruh marang pamar ntahan nagara
dhateng sasamining tumitah,marang perkembangan
para sarjana bab tembung jawi,para sarjana bab tembung jawa
mersudi dhateng basa pinten pinten,minggat marang basa pirang pirang
ingkang kakinten magepokan kalihan basa,sing dipikir nyambung karo basa
jawi arab sangskrita kawi mlajeng,jawa  arab  sanskerta  kawi lan liya liyan
tuwin sanes sanesipun,amarga saka usaha kuwi bisa
jalaran saking pamrasudi punika saged,nambah kawruh  babagan tembung
gumathok ing kawruhipun bab tembung,nambah ilmu bab tembung
jawi malah lajeng sumerep dhateng,jawa malah banjur ngerti marang
babad babad tanah jawi ing,sejarah tanah jawa ing
jaman kina ingkang sawantahipun boten,jaman kuna sing nganti saiki ora
kamoran rerenggan ingkang ngayawara,k langan bebrayan sing ngomong
kawruhipun bab kawontenaning tanah jawi,kawruhipun bab kawontenaning tanah jawi
nglangkungi ingkang turun tumurun manggen ing ngriki,nglampahi sing turun temurun manggon ing kene
para saged tanpa pedhot anggenipun,para bisa tanpa putus usaha
ngupados akal anyampurnakaken pirantos ingkang kangge anggarap,ngupaya akal kanggo nyempurnakake piranti sing kanggo nggarap
sadhengah damel,sadhengah gaw
sinten ingkang boten bingah sukur,sapa sing ora seneng syukur
ing allah dene wonten tiyang,ing allah  dene ana wong
saged damel pirantos andondomi naaimachine,bisa gaw  piranti kanggo nggarap naaimachine
punapadene tiyang ingkang rayatipun kathah,apa maneh wong sing rakyat  akeh
garapan tangan sadinten cekap kagarap,kerjan  nganggo tangan sakdina cukup rampung
mawi naaimachine sajam,nganggo naaimachine luwih cepet
jaman rumiyin tiyang kesahan kathah,jaman dhisik  wong kesulitan akeh
wragadipun tur kanthi rekaos,regan  larang lan rasa angel
samangke tiyang kesahan prasasat mabur sarat sakedhik,saiki wong kesulitan rasan  luwih enteng
inggih saking kagunanipun para saged,saka kagunan  para ahli
sepur trem ing tanah jawi minangka suwiwinipun,sepur trem ing tanah jawi minangka wiwitan
para hartawan awimana automobiel nganglang,para hartawan nganggo mobil nglangi
jagad kados lampahing thathit malah,jagad kaya lampahing watu  malah
ing tembe manawi gegelitaning palwa,ing temb   maneh yen gegelitan  perang
gegana sampun sampurna anak putu,gegana wis sempurna anak putu
badhe saged ngambah ing jumantara,bakal bisa ngambah samudra
